Organism Type,Bacteria Gram Stain,Species Code,Species Full Name,Reported Name ,CLSI Breakpoint Group,Other Group,CLSI Breakpoint Group Document,,,Pooled Name,Weighted Average Rule KEY,Reporting Rules,Weighted Average Rules
Virus,,88bsea,Bovine spongiform encephalopathy agent,,,,,,,,,,
Bacteria,Negative,braspe,Brachyspira species,Brachyspira species,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Positive,breagr,Brevibacillus agri,Brevibacillus spp.,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,bacbre,Brevibacillus species,Brevibacillus spp.,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,brecas,Brevibacterium casei,Brevibacterium spp.,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,breepi,Brevibacterium epidermidis,Brevibacterium spp.,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,breiod,Brevibacterium iodinum,Brevibacterium spp.,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,brelut,Brevibacterium luteolum,Brevibacterium spp.,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,brespe,Brevibacterium species,Brevibacterium spp.,Coryneform Bacteria,,M45,,,,,,
Bacteria,Negative,psedim,Brevundimonas diminuta,Brevundimonas spp.,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,brevsp,Brevundimonas species,Brevundimonas spp.,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,pseves,Brevundimonas vesicularis,Brevundimonas spp.,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,bruabo,Brucella abortus,Brucella spp.,Bioterrorism Agents,,M45,,,,,,
Bacteria,Negative,brucan,Brucella canis,Brucella spp.,Bioterrorism Agents,,M45,,,,,,
Bacteria,Negative,brumel,Brucella melitensis,Brucella spp.,Bioterrorism Agents,,M45,,,,,,
Bacteria,Negative,bruovi,Brucella ovis,Brucella spp.,Bioterrorism Agents,,M45,,,,,,
Bacteria,Negative,bruspp,Brucella species,Brucella spp.,Bioterrorism Agents,,M45,,,,,,
Bacteria,Negative,brusui,Brucella suis,Brucella spp.,Bioterrorism Agents,,M45,,,,,,
Helminth,,brumal,Brugia malayi,,,,,,,,,,
Bacteria,Negative,budaqu,Budvicia aquatica,Budvicia aquatica,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,psecep,Burkholderia cepacia,Burkholderia cepacia complex,Burkholderia cepacia complex,,M100,,,Burkholderia cepacia,,,
Bacteria,Negative,burcpx,Burkholderia cepacia complex,Burkholderia cepacia complex,Burkholderia cepacia complex,,M100,,,Burkdholderia cepacia,,,
Bacteria,Negative,burgla,Burkholderia gladioli,Burkholderia gladioli,Burkholderia cepacia complex,,M100,,,,,,
Bacteria,Negative,burmal,Burkholderia mallei,Bacterial agents of bioterrorism,Bioterrorism Agents,,M45,,,,,,
Bacteria,Negative,burmul,Burkholderia multivorans,Burkholderia cepacia complex,Burkholderia cepacia complex,,M100,,,,,,
Bacteria,Negative,psepic,Burkholderia pickettii,Burkholderia pickettii,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,psepi1,Burkholderia pickettii bio.1,Burkholderia pickettii,Burkholderia cepacia complex,,M100,,,,,,
Bacteria,Negative,psepi2,Burkholderia pickettii bio.2,Burkholderia pickettii,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,psepse,Burkholderia pseudomallei,Burkholderia pseudomallei,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,bursta,Burkholderia stabilis,Burkholderia cepacia complex,Burkholderia cepacia complex,,M100,,,,,,
Bacteria,Negative,burtho,Burkholderia thomasii,Burkholderia thomasii,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,burvie,Burkholderia vietnamiensis,Burkholderia cepacia complex,Burkholderia cepacia complex,,M100,,,,,,
Bacteria,Negative,butagr,Buttiauxella agrestis,Buttiauxella agrestis,Enterobacterales,,M100,,,,,,
Bacteria,Positive,clodab,C.diff toxigenic A and B gene DETECTED,,,,,,,,,,
Bacteria,Positive,cloda+,C.diff toxigenic A gene DETECTED,,,,,,,,,,
Bacteria,Positive,clodb+,C.diff toxigenic B gene DETECTED,,,,,,,,,,
Bacteria,Positive,clodn+,C.diff toxin B POSITIVE (probable NAP1 strain),,,,,,,,,,
Bacteria,Positive,clodn-,C.diff toxin B POSITIVE (probable NON-NAP1 strain),,,,,,,,,,
Bacteria,Positive,clodip,C.difficile toxin gene,,,,,,,,,,
Bacteria,Negative,camcol,Campylobacter coli,Campylobacter jejuni/coli,Campylobacter jejuni/coli,,M45,,,,,,
Bacteria,Negative,camfet,Campylobacter fetus,Other Non-Enterobacterales,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,camhyo,Campylobacter hyointestinalis,Campylobacter spp. other than jenuni/coli,Campylobacter jejuni/coli,,M45,,,,,,
Bacteria,Negative,camjej,Campylobacter jejuni,Campylobacter jejuni/coli,Campylobacter jejuni/coli,,M45,,,,,,
Bacteria,Negative,camj-c,Campylobacter jejuni/coli,Campylobacter jejuni/coli,Campylobacter jejuni/coli,,M45,,,,,,
